CNVofInterest,Syndrome,Locus,Chr,Start,Stop,Length,Pos_start,Pos_stop,hg19_original,n,source,hg19_converted
1p36_GABRD,1p36_GABRD,1p36,1,0,2500000,2500000,0,2800000,chr1:0-2500000,2,Kendalletal2017,chr1:0-2500000
1q21_TAR,TAR,1q21.1,1,145394955,145807817,412862,144694955,146707817,"chr1:145,394,955-145,807,817",2,Kendalletal2017,chr1:145394955-145807817
1q21.1_distal,1q21.1_distal,1q21.1,1,146527987,147394444,866457,145627987,149094444,"chr1:146,527,987-147,394,444",2,Kendalletal2017,chr1:146527987-147394444
1q21.1_distalprox,1q21.1_distalprox,1q21.1,1,145394955,147394444,1999489,144694955,149094444,"chr1:145,394,955-147,394,444",2,own,chr1:145394955-147394444
2p16.3_NRXN1,NRXN1,2p16.3,2,50145643,51259674,1114031,49945643,52459674,chr2:50145643-51259674,1,Kendalletal2017,chr2:50145643-51259674
2q11.2,"2q11.2_LMAN2L,ARID5A",2q11.2,2,96742409,97677516,935107,96142409,98577516,"chr2:96,742,409-97,677,516",2,Kendalletal2017,chr2:96742409-97677516
2q13_NHP1,2q13_NPHP1,2q13,2,110862716,110983948,121232,110262716,111583948,"chr2:110,862,716-110,983,948",2,Kendalletal2017,chr2:110862716-110983948
2q13,2q13,2q13,2,111394040,112012649,618609,110794040,113212649,"chr2:111,394,040-112,012,649",2,Kendalletal2017,chr2:111394040-112012649
2q21.1,2q21.1,2q21.1,2,131481308,131930677,449369,131081308,132330677,"chr2:131,481,308-131,930,677",2,Kendalletal2017,chr2:131481308-131930677
2q37_HDAC4,2q37_HDAC4,2q37,2,239716679,243199373,3482694,239316679,243599373,"chr2:239,716,679-243,199,373",2,Kendalletal2017,chr2:239716679-243199373
3q29,3q29,3q29,3,195720167,197354826,1634659,195320167,197754826,"chr3:195,720,167-197,354,826",2,Kendalletal2017,chr3:195720167-197354826
4p16.3_WH,Wolf-Hirschhorn,4p16.3,4,1552030,2091303,539273,1152030,2491303,"chr4:1,552,030-2,091,303",2,Kendalletal2017,chr4:1552030-2091303
5q35_Sotos,5q35_SotosSyndrome,5q35,5,175720924,177052594,1331670,175320924,177452594,"chr5:175,720,924-177,052,594",2,Kendalletal2017,chr5:175720924-177052594
6q16_SIM1,6q16_SIM1,6q16,6,100836750,100911811,75061,100436750,101311811,"chr6:100,836,750-100,911,811",2,Kendalletal2017,chr6:100836750-100911811
7q11.23_WBS,7q11.23_WBS,7q11.23,7,72744915,74142892,1397977,72044915,75042892,"chr7:72,744,915-74,142,892",2,Kendalletal2017,chr7:72744915-74142892
7q11.23,7q11.23distal_1.2-Mb,7q11.23,7,75138294,76064412,926118,74738294,76464412,"chr7:75,138,294-76,064,412",2,Kendalletal2017,chr7:75138294-76064412
